2022-12-18 16:55:29.434 +04 [5132] РћРџР•Р РђРўРћР :  INSERT INTO "executiveDocs" ("createdAt") VALUES ($1) RETURNING "id","number","dateIssue","resolutionNumber","resolutionDate","main","percents","penalties","fee","sum","createdAt","updatedAt","typeId","contractId","bailiffId","agentId";
2022-12-18 16:56:24.859 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 16:56:25.383 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.331 сек., синхр.=0.090 сек., всего=0.525 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.027 сек., средняя=0.023 сек.; расстояние=1 kB, ожидалось=9 kB
2022-12-18 17:01:24.396 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 17:01:24.636 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.107 сек., синхр.=0.039 сек., всего=0.240 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.022 сек., средняя=0.020 сек.; расстояние=1 kB, ожидалось=8 kB
2022-12-18 17:06:24.645 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 17:06:24.889 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.115 сек., синхр.=0.039 сек., всего=0.244 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.023 сек., средняя=0.020 сек.; расстояние=2 kB, ожидалось=7 kB
2022-12-18 17:11:24.892 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 17:11:25.141 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.110 сек., синхр.=0.044 сек., всего=0.250 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.028 сек., средняя=0.022 сек.; расстояние=2 kB, ожидалось=7 kB
2022-12-18 17:12:51.034 +04 [2076] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-18 17:12:51.036 +04 [10168] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-18 17:12:51.036 +04 [9684] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-18 17:12:51.095 +04 [424] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2022-12-18 20:34:42.797 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 20:34:43.071 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.138 сек., синхр.=0.038 сек., всего=0.275 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.021 сек., средняя=0.019 сек.; расстояние=2 kB, ожидалось=6 kB
2022-12-19 12:16:44.257 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-19 12:16:44.610 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.224 сек., синхр.=0.056 сек., всего=0.353 сек.; синхронизировано_файлов=3, самая_долгая_синхр.=0.028 сек., средняя=0.019 сек.; расстояние=3 kB, ожидалось=6 kB
2022-12-19 12:31:44.632 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-19 12:31:44.871 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.100 сек., синхр.=0.066 сек., всего=0.240 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.043 сек., средняя=0.033 сек.; расстояние=3 kB, ожидалось=6 kB
2022-12-19 12:38:54.306 +04 [9056] РћРЁРР‘РљРђ:  РѕС‚РЅРѕС€РµРЅРёРµ "executivedocs" РЅРµ СЃСѓС‰РµСЃС‚РІСѓРµС‚ (СЃРёРјРІРѕР» 13)
2022-12-19 12:38:54.306 +04 [9056] РћРџР•Р РђРўРћР :  DELETE FROM executiveDocs;
2022-12-19 12:40:32.126 +04 [5804] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-19 12:40:32.126 +04 [5688] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-19 12:41:44.898 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-19 12:42:09.785 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 222 (1.4%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=23.694 сек., синхр.=1.120 сек., всего=24.887 сек.; синхронизировано_файлов=60, самая_долгая_синхр.=0.083 сек., средняя=0.019 сек.; расстояние=1783 kB, ожидалось=1783 kB
2022-12-19 12:46:44.791 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-19 12:46:45.013 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.101 сек., синхр.=0.048 сек., всего=0.222 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.028 сек., средняя=0.024 сек.; расстояние=1 kB, ожидалось=1605 kB
2022-12-19 12:56:44.029 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-19 12:56:45.352 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 11 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.074 сек., синхр.=0.179 сек., всего=1.324 сек.; синхронизировано_файлов=11, самая_долгая_синхр.=0.029 сек., средняя=0.017 сек.; расстояние=2 kB, ожидалось=1445 kB
2022-12-19 13:16:44.379 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-19 13:16:45.730 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 11 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.064 сек., синхр.=0.215 сек., всего=1.351 сек.; синхронизировано_файлов=11, самая_долгая_синхр.=0.028 сек., средняя=0.020 сек.; расстояние=3 kB, ожидалось=1301 kB
2022-12-19 13:17:36.123 +04 [1880] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-19 13:21:44.731 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
